compound_name,chembl_id,target_name,activity_type,activity_value,activity_units,assay_description
ginkgolide A,CHEMBL465161,Mus musculus,Activity,7.6,s,"Anxiolytic-like activity in ddY mouse assessed as time spent in open-sided arms at 1 mg/kg, po for 1 day measured after 1 hr by elevated plus-maze test"
ginkgolide A,CHEMBL465161,Mus musculus,Activity,39.1,,"Anxiolytic-like activity in ddY mouse assessed as ambulatory activity at 1 mg/kg, po for 1 day measured after 1 hr assessed per 5 mins by tilting type ambulometer test"
ginkgolide A,CHEMBL465161,Mus musculus,Activity,10.5,s,"Anxiolytic-like activity in ddY mouse assessed as time spent in open-sided arms at 1 mg/kg, po for 2 days measured 24 hrs after final drug administration by elevated plus-maze test"
bilobalide,CHEMBL3348958,NON-PROTEIN TARGET,Potency,0.6,nM,PubChem BioAssay. qHTS profiling of the MIPE4 collection as inhibitors of Plasmodium falciparum (DD2) proliferation.   (Class of assay: confirmatory) 
bilobalide,CHEMBL3348958,NON-PROTEIN TARGET,Potency,47.3,nM,PubChem BioAssay. qHTS profiling of the MIPE4 collection as inhibitors of Plasmodium falciparum (DD2) proliferation (Rep 2).   (Class of assay: confirmatory) 
bilobalide,CHEMBL3348958,NON-PROTEIN TARGET,Potency,6678.0,nM,PubChem BioAssay. qHTS profiling of the MIPE4 collection as inhibitors of Plasmodium falciparum (HB3) proliferation.   (Class of assay: confirmatory) 
bilobalide,CHEMBL3348958,SARS-CoV-2,Inhibition,-10.91,%,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of Caco-2 cells at 10 uM after 48 hours by high content imaging
bilobalide,CHEMBL3348958,Replicase polyprotein 1ab,Inhibition,2.963,%,SARS-CoV-2 3CL-Pro protease inhibition percentage at 20µM  by FRET kind of response from peptide substrate
bilobalide,CHEMBL3348958,SARS-CoV-2,Inhibition,0.15,%,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging
bilobalide,CHEMBL3348958,SARS-CoV-2,Inhibition,0.15,%,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging
bilobalide,CHEMBL3348958,Histone deacetylase 6,Inhibition,-19.33,%,Enzymatic assay of human HDAC6 with commercial peptide substrate
bilobalide,CHEMBL3348958,Histone deacetylase 6,Inhibition,-7.49,%,Enzymatic assay of human HDAC6 with custom peptide substrate
ginsenoside Rb1,CHEMBL4203353,AMPK alpha2/beta1/gamma1,EC50,16.8,nM,Activation of recombinant AMPKalpha2beta1gamma1 (unknown origin) expressed in Escherichia coli BL21 in presence of CaMKKbeta (unknown origin) incubated for 45 mins in presence of substrate-1 peptide a
ginsenoside Rb1,CHEMBL4203353,AMPK alpha2/beta1/gamma1,FC,1.7,,Activation of recombinant AMPKalpha2beta1gamma1 (unknown origin) expressed in Escherichia coli BL21 in presence of CaMKKbeta (unknown origin) incubated for 45 mins in presence of substrate-1 peptide a
ginsenoside Rg1,CHEMBL501637,Hepatocyte,Survival,41.6,%,Hepatoprotective activity against D-galactosamine/TNFalpha-induced cell death in mouse hepatocytes assessed cell survival rate at 50 uM administered before 30 mins of TNFalpha challenge measured after
ginsenoside Rg1,CHEMBL501637,Hepatocyte,Survival,48.3,%,Hepatoprotective activity against D-galactosamine/TNFalpha-induced cell death in mouse hepatocytes assessed cell survival rate at 200 uM administered before 30 mins of TNFalpha challenge measured afte
ginsenoside Rg1,CHEMBL501637,Hepatocyte,Survival,42.0,%,Hepatoprotective activity against D-galactosamine/TNFalpha-induced cell death in mouse hepatocytes assessed cell survival rate at 100 uM administered before 30 mins of TNFalpha challenge measured afte
ginsenoside Rg1,CHEMBL501637,Hepatocyte,Inhibition,39.3,%,Hepatoprotective activity in mouse hepatocytes assessed inhibition of D-galactosamine/TNFalpha-induced cell death at 50 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Rg1,CHEMBL501637,Hepatocyte,Inhibition,61.4,%,Hepatoprotective activity in mouse hepatocytes assessed inhibition of D-galactosamine/TNFalpha-induced cell death at 200 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Rg1,CHEMBL501637,Hepatocyte,Inhibition,40.6,%,Hepatoprotective activity in mouse hepatocytes assessed inhibition of D-galactosamine/TNFalpha-induced cell death at 100 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Rg1,CHEMBL501637,Hepatocyte,Activity,16.7,%,Hepatoprotective activity in mouse hepatocytes assessed protection against D-galactosamine/TNFalpha-induced cell death at 50 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Rg1,CHEMBL501637,Hepatocyte,Activity,26.2,%,Hepatoprotective activity in mouse hepatocytes assessed protection against D-galactosamine/TNFalpha-induced cell death at 200 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Rg1,CHEMBL501637,Hepatocyte,Activity,17.3,%,Hepatoprotective activity in mouse hepatocytes assessed protection against D-galactosamine/TNFalpha-induced cell death at 100 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Re,CHEMBL510095,Hepatocyte,Survival,36.4,%,Hepatoprotective activity against D-galactosamine/TNFalpha-induced cell death in mouse hepatocytes assessed cell survival rate at 50 uM administered before 30 mins of TNFalpha challenge measured after
ginsenoside Re,CHEMBL510095,Hepatocyte,Survival,52.4,%,Hepatoprotective activity against D-galactosamine/TNFalpha-induced cell death in mouse hepatocytes assessed cell survival rate at 200 uM administered before 30 mins of TNFalpha challenge measured afte
ginsenoside Re,CHEMBL510095,Hepatocyte,Survival,41.2,%,Hepatoprotective activity against D-galactosamine/TNFalpha-induced cell death in mouse hepatocytes assessed cell survival rate at 100 uM administered before 30 mins of TNFalpha challenge measured afte
ginsenoside Re,CHEMBL510095,Hepatocyte,Inhibition,21.1,%,Hepatoprotective activity in mouse hepatocytes assessed inhibition of D-galactosamine/TNFalpha-induced cell death at 50 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Re,CHEMBL510095,Hepatocyte,Inhibition,74.3,%,Hepatoprotective activity in mouse hepatocytes assessed inhibition of D-galactosamine/TNFalpha-induced cell death at 200 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Re,CHEMBL510095,Hepatocyte,Inhibition,37.0,%,Hepatoprotective activity in mouse hepatocytes assessed inhibition of D-galactosamine/TNFalpha-induced cell death at 100 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Re,CHEMBL510095,Hepatocyte,Activity,8.9,%,Hepatoprotective activity in mouse hepatocytes assessed protection against D-galactosamine/TNFalpha-induced cell death at 50 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Re,CHEMBL510095,Hepatocyte,Activity,31.9,%,Hepatoprotective activity in mouse hepatocytes assessed protection against D-galactosamine/TNFalpha-induced cell death at 200 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
ginsenoside Re,CHEMBL510095,Hepatocyte,Activity,15.9,%,Hepatoprotective activity in mouse hepatocytes assessed protection against D-galactosamine/TNFalpha-induced cell death at 100 uM administered before 30 mins of TNFalpha challenge measured after 18 hrs
cannabidiol,CHEMBL3402653,Cannabinoid CB1 receptor,IC50,30.9,nM,Partial agonist activity at mouse CB1 receptor by vas deferens assay
tetrahydrocannabinol,CHEMBL3586104,Mus musculus,T,0.58,degrees C,"Neurobehavioral effect on Swiss Webster mouse assessed as decrease in rectal temperature at 20 mg/kg, ip (Rvb = 0.58 +/- 0.26 degC) by mouse tetrad assay"
tetrahydrocannabinol,CHEMBL3586104,Mus musculus,MPE,4.95,%,"Neurobehavioral effect on Swiss Webster mouse assessed as hot plate latency time at 20 mg/kg, ip (Rvb = 8.32 +/- 2.20 %) by mouse tetrad assay"
tetrahydrocannabinol,CHEMBL3586104,Mus musculus,MPE,5.01,%,"Neurobehavioral effect on Swiss Webster mouse assessed as tail-flick latency time at 20 mg/kg, ip (Rvb = 0.84 +/- 3.58 %) by mouse tetrad assay"
tetrahydrocannabinol,CHEMBL3586104,Mus musculus,TIME,0.0004167,hr,"Neurobehavioral effect on Swiss Webster mouse assessed as catalepsy latency time at 20 mg/kg, ip (Rvb = 2.1 +/- 0.60 secs) by mouse tetrad assay"
tetrahydrocannabinol,CHEMBL3586104,Mus musculus,Activity,908.9,,"Neurobehavioral effect on Swiss Webster mouse assessed as locomotor activity measured as total number of interruptions at 20 mg/kg, ip monitored for 30 mins (Rvb = 2091 +/- 209.3 No_unit) by mouse tet"
tetrahydrocannabinol,CHEMBL3586104,Cannabinoid CB2 receptor,Ki,3219.0,nM,Displacement of [3H]CP55940 from full length human recombinant CB2 receptor expressed in HEK293 cells after 90 mins by scintillation counting analysis
tetrahydrocannabinol,CHEMBL3586104,Cannabinoid CB1 receptor,Ki,1906.0,nM,Displacement of [3H]CP55940 from full length human recombinant CB1 receptor expressed in HEK293 cells after 90 mins by scintillation counting analysis
cannabinol,CHEMBL74415,Cannabinoid CB1 receptor,Ki,392.2,nM,Binding affinity of compound towards Cannabinoid receptor 1 in rat brain synaptosomal membrane preparations
cannabinol,CHEMBL74415,Cannabinoid CB1 receptor,Ki,211.2,nM,Binding affinity of compound towards Cannabinoid receptor 1 in african green monkey COS-7 cells transfected with cDNA of rat CB1 receptor
cannabinol,CHEMBL74415,Cannabinoid CB2 receptor,Ki,126.4,nM,Binding affinity of compound towards Cannabinoid receptor 2 in african green monkey COS-7 cells transfected with cDNA of human CB2 receptor
cannabinol,CHEMBL74415,Cannabinoid CB1 receptor,EC50,120.0,nM,Effective concentration for inhibition of Cannabinoid receptor 1-mediated adenylyl cyclase activity using African green monkey (COS-7) cells transfected with the cDNA of rat CB1 receptor
cannabinol,CHEMBL74415,Cannabinoid CB2 receptor,EC50,261.2,nM,Effective concentration for inhibition of human Cannabinoid receptor 2-mediated adenylyl cyclase using African green monkey (COS-7) cells transfected with the cDNA of human CB2 receptor
cannabinol,CHEMBL74415,Cannabinoid CB1 receptor,Ki,308.0,nM,Binding affinity was determined for Cannabinoid receptor 1
cannabinol,CHEMBL74415,Cannabinoid CB2 receptor,Ki,96.0,nM,Binding affinity was determined for Cannabinoid receptor 2
cannabinol,CHEMBL74415,Cannabinoid receptor,Relative potency,0.3,,Capability to induce convulsions in tetrahydrocannabinol-seizure susceptible (THC-SS) rabbit
cannabinol,CHEMBL74415,Oryctolagus cuniculus,No. of rabbits convulsed,4.0,,"Number of rabbits convulsed at 10 mg/kg, iv out of 6 rabbits tested"
rosmarinic acid,CHEMBL324842,Human immunodeficiency virus type 1 integrase,IC50,9000.0,nM,"Inhibition of HIV-1 integrase, under 1 uM for the 3''-preprocessing"
rosmarinic acid,CHEMBL324842,Human immunodeficiency virus type 1 integrase,IC50,9000.0,nM,Inhibition of 3'- processing activity of HIV-1 integrase
rosmarinic acid,CHEMBL324842,Human immunodeficiency virus type 1 integrase,IC50,4000.0,nM,Inhibition of strand transfer activity of HIV-1 integrase
rosmarinic acid,CHEMBL324842,Tyrosine-protein kinase LCK,IC50,24000.0,nM,Inhibition of binding to p56 Lck tyrosine kinase SH2 domain
rosmarinic acid,CHEMBL324842,Molecular identity unknown,IC50,180000.0,nM,Inhibition of classical pathway of the complement system
rosmarinic acid,CHEMBL324842,Tyrosine-protein kinase FYN,IC50,1300.0,nM,Inhibition of human Fyn expressed in Sf9 cells after 20 mins by ELISA in presence of 1 umol/L ATP
rosmarinic acid,CHEMBL324842,Tyrosine-protein kinase FYN,IC50,3600.0,nM,Inhibition of human Fyn expressed in Sf9 cells after 20 mins by ELISA in presence of 10 umol/L ATP
rosmarinic acid,CHEMBL324842,Tyrosine-protein kinase FYN,IC50,17000.0,nM,Inhibition of human Fyn expressed in Sf9 cells after 20 mins by ELISA in presence of 100 umol/L ATP
rosmarinic acid,CHEMBL324842,Tyrosine-protein kinase FYN,IC50,36000.0,nM,Inhibition of human Fyn expressed in Sf9 cells after 1 min by ELISA in presence of 1 umol/L ATP
rosmarinic acid,CHEMBL324842,Tyrosine-protein kinase FYN,IC50,74000.0,nM,Inhibition of human Fyn expressed in Sf9 cells after 1 min by ELISA in presence of 10 umol/L ATP
caffeic acid,CHEMBL145,Epidermal growth factor receptor erbB1,IC50,1200000.0,nM,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase
caffeic acid,CHEMBL145,Epidermal growth factor receptor erbB1,Ki,400000.0,nM,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase
caffeic acid,CHEMBL145,Plasmodium falciparum,IC50,122000.0,nM,In vitro antimalarial activity against Plasmodium falciparum
caffeic acid,CHEMBL145,Unchecked,IC50,3300.0,nM,Evaluated for the antioxidant property by measuring the inhibition of microsomal lipid peroxidation
caffeic acid,CHEMBL145,Unchecked,IC50,500.0,nM,Compound was evaluated for hydroxyl radical (OH) scavenging activity
caffeic acid,CHEMBL145,Unchecked,IC50,95000.0,nM,Superoxide anion (O2-) scavenging activity
caffeic acid,CHEMBL145,Xanthine dehydrogenase,Inhibition,18.0,%,Compound was evaluated for inhibition of xanthine oxidase
caffeic acid,CHEMBL145,Arachidonate 5-lipoxygenase,Inhibition,22.7,%,Inhibitory activity against 5-lipoxygenase in guinea pig leukocyte at 30 uM
caffeic acid,CHEMBL145,Arachidonate 5-lipoxygenase,IC50,16700.0,nM,Inhibitory activity against 5-lipoxygenase in guinea pig leukocyte
caffeic acid,CHEMBL145,Arachidonate 5-lipoxygenase,IC50,43000.0,nM,In vitro inhibition against 5-lipoxygenase in RBL-1 cells was determined
chlorogenic acid,CHEMBL284616,Human immunodeficiency virus type 1 integrase,IC50,87800.0,nM,"Inhibition of HIV-1 integrase, under 1 uM for the 3''-preprocessing"
chlorogenic acid,CHEMBL284616,Human immunodeficiency virus type 1 integrase,IC50,45800.0,nM,"Tested for inhibition of HIV-1 integrase, under 1 uM for the strand transfer"
chlorogenic acid,CHEMBL284616,MT2,LD5,249.0,uM,Lethal dose (LD5) concentration inhibiting growth of MT-2 cells by 5%
chlorogenic acid,CHEMBL284616,Human immunodeficiency virus 1,ED50,497.0,uM,Concentration that inhibits Human Immunodeficiency Virus Type 1 (HIV-1)-induced death of MT-2 cells
chlorogenic acid,CHEMBL284616,Human immunodeficiency virus type 1 integrase,Inhibition,59.7,%,Inhibition of Human Immunodeficiency Virus Type 1 integrase (HIV-1 IN) in the disintegration reaction at a concentration of 25 uM
chlorogenic acid,CHEMBL284616,Human immunodeficiency virus type 1 integrase,Inhibition,76.9,%,Percentage inhibition of compound against 3'-processing of HIV-1 integrase at 100 ug/mL
chlorogenic acid,CHEMBL284616,Human immunodeficiency virus type 1 integrase,Inhibition,87.7,%,Percentage inhibition against strand transfer of HIV-1 integrase at 100 ug/mL
chlorogenic acid,CHEMBL284616,Human immunodeficiency virus type 1 integrase,IC50,87800.0,nM,Inhibitory concentration of compound against 3'-processing of HIV-1 integrase in experiment 1
chlorogenic acid,CHEMBL284616,Human immunodeficiency virus type 1 integrase,IC50,58200.0,nM,Inhibitory concentration of compound against 3'-processing of HIV-1 integrase in experiment 2
chlorogenic acid,CHEMBL284616,Human immunodeficiency virus type 1 integrase,IC50,45800.0,nM,Inhibitory concentration of compound against strand transfer of HIV-1 integrase in experiment 1
resveratrol,CHEMBL165,HL-60,IC50,5000.0,nM,In vitro inhibitory concentration against proliferation of HL60 cells
resveratrol,CHEMBL165,HL-60,AC50,50000.0,nM,In vitro concentration required to induce apoptosis in HL60 cells
resveratrol,CHEMBL165,RAW264.7,IC50,4000.0,nM,Inhibitory effect on PGE-2 production in LPS-stimulated RAW264.7 cells
resveratrol,CHEMBL165,Tyrosine-protein kinase LCK,IC50,112000.0,nM,Tested in vitro for the inhibition of protein-tyrosine kinase p56lck using angiotensin I (1.2 mM) and [gamma-32P]-ATP (50 pM)
resveratrol,CHEMBL165,Unchecked,IC50,123300.0,nM,Free radical scavenging activity of DPPH was determined
resveratrol,CHEMBL165,Unchecked,IC50,74000.0,nM,Free radical scavenging activity of DPPH was determined; value taken from reference 11
resveratrol,CHEMBL165,Unchecked,Relative IC50,1.0,,Free radical scavenging activity of DPPH w.r.t. resveratrol was determined
resveratrol,CHEMBL165,Unchecked,Activity,100.0,%,Free radical scavenging activity of DPPH expressed as percent polyphenol
resveratrol,CHEMBL165,Mus musculus,IC50,68000.0,nM,Inhibitory activity against nitric oxide production in LPS-activated mouse peritoneal macrophages
resveratrol,CHEMBL165,P388,ED50,4.49,ug ml-1,In vitro inhibition of P388 (murine leukemia) cell proliferation.
quercetin,CHEMBL50,Aldose reductase,IC50,32870.0,nM,Inhibition of ALR2 (aldose reductase) of bovine lens
quercetin,CHEMBL50,Aldose reductase,IC50,10340.0,nM,The compound was tested for Inhibitory effect against ALR1 in bovine kidneys
quercetin,CHEMBL50,Unchecked,Ratio,0.3,,Compound was tested for Ratio of IC50(ALR1)/(ALR2)
quercetin,CHEMBL50,Aldose reductase,IC50,8320.0,nM,In vitro inhibitory activity against aldose reductase (ALR2) from rat lens extraction.
quercetin,CHEMBL50,Aldose reductase,IC50,7810.0,nM,In vitro inhibitory activity against aldose reductase (ALR2) from rat lens extraction.
quercetin,CHEMBL50,Aldehyde reductase,IC50,2320.0,nM,In vitro inhibitory activity against aldehyde reductase 1 (ALR1) from rat kidney.
quercetin,CHEMBL50,Sorbitol dehydrogenase,IC50,35600.0,nM,In vitro inhibitory activity against sorbitol dehydrogenase (SD) from sheep liver
quercetin,CHEMBL50,Glutathione reductase,IC50,48800.0,nM,In vitro inhibitory activity against glutathione reductase (GR) from bakers yeast
quercetin,CHEMBL50,Unchecked,IC50,950.0,nM,Evaluated for the antioxidant property by measuring the inhibition of microsomal lipid peroxidation
quercetin,CHEMBL50,Aminopeptidase N,Inhibition,73.0,%,Inhibition of cell surface aminopeptidase N (APN/CD13) at 0.3*10e-3 M compound concentration
catechin,CHEMBL206452,Radical scavenging activity,Activity,32.0,%,Effect on CumOOH-induced oxidative damage of herring sperm DNA assessed as reduction in 8-OHdG level
catechin,CHEMBL206452,Radical scavenging activity,Activity,36.0,%,Effect on glutathione/ferric ion-induced oxidative damage of herring sperm DNA assessed as reduction in 8-OHdG level
catechin,CHEMBL206452,No relevant target,IC50,10000.0,nM,DPPH radical scavenging activity
catechin,CHEMBL206452,Apoptosis regulator Bcl-2,Ki,100000.0,nM,Binding affinity to BCL2
catechin,CHEMBL206452,Radical scavenging activity,IC50,13.5,ug.mL-1,Antioxidant activity assessed as DPPH radical scavenging activity after 30 mins by microplate reader assay
catechin,CHEMBL206452,NON-PROTEIN TARGET,IC50,13.7,ug.mL-1,Antioxidant activity assessed as superoxide radical scavenging activity after 20 mins by NBT reduction assay
catechin,CHEMBL206452,No relevant target,Activity,0.57,mmol/L,ABTS radical scavenging activity assessed as Trolox equivalent antioxidant capacity
catechin,CHEMBL206452,Liver microsomes,IC50,51000000.0,nM,Antioxidant activity in Wistar rat liver microsomes assessed as inhibition of lipid peroxidation by TBA assay
catechin,CHEMBL206452,NON-PROTEIN TARGET,Activity,34.6,uM/L,Antioxidant activity against Cu2+-induced lipid peroxidation in human plasma LDL preincubated for 1 hr before Cu2+ challenge
catechin,CHEMBL206452,NON-PROTEIN TARGET,Activity,156.2,uM/L,Antioxidant activity against AAPH-induced lipid peroxidation in human plasma LDL preincubated for 1 hr before AAPH challenge
epigallocatechin gallate,CHEMBL297453,Human immunodeficiency virus type 1 integrase,Inhibition,50.0,%,Inhibition against HIV-1 integrase at 1 mM
epigallocatechin gallate,CHEMBL297453,Human immunodeficiency virus type 1 integrase,Inhibition,50.0,%,Inhibition against HIV-1 integrase at 200 uM
epigallocatechin gallate,CHEMBL297453,Human immunodeficiency virus type 1 integrase,Inhibition,50.0,%,Inhibition against HIV-1 integrase at 25 uM
epigallocatechin gallate,CHEMBL297453,Human immunodeficiency virus type 1 reverse transcriptase,IC50,730.0,nM,Inhibition of polymerization in wild type HIV-1 RT with poly rC/dG12-18 template primer and [3H]dGTP
epigallocatechin gallate,CHEMBL297453,Squalene monooxygenase,IC50,690.0,nM,Compound was evaluated for its inhibitory activity against recombinant rat SE(squalene epoxidase)
epigallocatechin gallate,CHEMBL297453,Unchecked,IC50,20800.0,nM,"Inhibitory activity against lipid peroxidation of egg-phosphatidylcholine (PC) liposome caused by water-soluble radical initiator [2,2'-azobis(2-amidinopropane) dihydrochloride] (AAPH)"
epigallocatechin gallate,CHEMBL297453,Unchecked,IC50,500000.0,nM,"Inhibitory activity against lipid peroxidation of egg-phosphatidylcholine (PC) liposome caused by lipid-soluble radical initiator [2,2'-azobis(2,4- dimethylvaleronitrile] (AMVN)"
epigallocatechin gallate,CHEMBL297453,No relevant target,P,8.0,,Partion coefficient of compound was determined between n-octanol and water evaluated by comparison of HPLC peak area
