name,bioactivity_score,mol_weight,logp,solubility,toxicity,is_champion,targets,discovery_date,mega_id
calycosin,0.482083495143782,310.0,3.523079960324353,Modérée,Modérée,False,2,2024-01-05,MEGA_000042
withanolide,0.7713310970382448,280.0,2.228953422125658,Bonne,Élevée,False,2,2024-01-05,MEGA_000043
hypericin,0.36544278151164367,250.0,4.547651903896849,Modérée,Faible,False,1,2024-01-05,MEGA_000044
hyperforin,0.5128967411144144,280.0,1.4462172392085184,Bonne,Modérée,False,3,2024-01-05,MEGA_000045
rutin,0.5818215851101918,310.0,3.72493949031588,Modérée,Modérée,False,2,2024-01-05,MEGA_000046
syringaresinol,0.4518285502254198,280.0,1.3927889004958098,Bonne,Élevée,False,2,2024-01-05,MEGA_000047
isofraxidin,0.6608725986495294,310.0,2.7814333319391675,Modérée,Modérée,False,3,2024-01-05,MEGA_000048
delphinidin,0.6942330697340421,280.0,2.765686669250191,Modérée,Modérée,False,2,2024-01-05,MEGA_000049
malvidin,0.39326230242503957,310.0,4.169691681739608,Modérée,Faible,False,3,2024-01-05,MEGA_000050
theophylline,0.6174806276330391,0.0,-1.0771668261585279,Bonne,Élevée,False,1,2024-01-06,MEGA_000051
nicotine,0.5982202794144211,0.0,0.6633830488473854,Bonne,Faible,False,2,2024-01-06,MEGA_000052
cocaine,0.5110503696802637,0.0,0.01877772338794696,Bonne,Modérée,False,3,2024-01-06,MEGA_000053
codeine,0.445948996079224,0.0,0.2727933862859796,Bonne,Élevée,False,2,2024-01-06,MEGA_000054
quinidine,0.7131295179518181,0.0,0.9583327146851411,Bonne,Modérée,False,1,2024-01-06,MEGA_000055
vincristine,0.3984841297575874,0.0,-1.2825566930052876,Bonne,Modérée,False,3,2024-01-06,MEGA_000056
vinblastine,0.4676917356025613,0.0,0.8105949731485923,Bonne,Faible,False,3,2024-01-06,MEGA_000057
taxol,0.6121325841381515,0.0,-0.5689048530894247,Bonne,Faible,False,3,2024-01-06,MEGA_000058
colchicine,0.6087022696927502,0.0,1.0958734549768259,Bonne,Modérée,False,2,2024-01-06,MEGA_000059
emetine,0.715443195948964,0.0,0.3345576345378801,Bonne,Élevée,False,3,2024-01-06,MEGA_000060
kaempferol,0.43490012195490857,0.0,-0.20952838151705544,Bonne,Élevée,False,3,2024-01-07,MEGA_000061
luteolin,0.684724550197207,0.0,-0.5900259690908214,Bonne,Modérée,False,3,2024-01-07,MEGA_000062
apigenin,0.5742702591375948,0.0,0.8232949943553307,Bonne,Faible,False,1,2024-01-07,MEGA_000063
epicatechin,0.5616897122773534,0.0,1.2609516854809275,Bonne,Faible,False,3,2024-01-07,MEGA_000064
gallic acid,0.5259983303312465,0.0,-0.5328515408601846,Bonne,Élevée,False,3,2024-01-07,MEGA_000065
tannic acid,0.7063378732151446,0.0,-1.133006565781397,Bonne,Élevée,False,3,2024-01-07,MEGA_000066
hesperidin,0.390621881640609,0.0,0.6942110429452255,Bonne,Modérée,False,1,2024-01-07,MEGA_000067
naringenin,0.36841344846041574,0.0,-1.4485309420337003,Bonne,Faible,False,3,2024-01-07,MEGA_000068
genistein,0.7410152021703889,0.0,-1.3055124375829716,Bonne,Modérée,False,2,2024-01-07,MEGA_000069
daidzein,0.6229242805244775,0.0,-1.0627002755278991,Bonne,Modérée,False,3,2024-01-07,MEGA_000070
limonene,0.7163182759386676,0.0,-0.4154504830387495,Bonne,Modérée,False,2,2024-01-08,MEGA_000071
pinene,0.657464828251161,0.0,-1.336331889215445,Bonne,Élevée,False,1,2024-01-08,MEGA_000072
camphene,0.49401285544054174,0.0,-1.9387999093815778,Bonne,Modérée,False,1,2024-01-08,MEGA_000073
menthol,0.6955478179533132,0.0,-1.1354441943371232,Bonne,Faible,False,3,2024-01-08,MEGA_000074
camphor,0.6036527031178973,0.0,0.6424744465726187,Bonne,Faible,False,3,2024-01-08,MEGA_000075
eucalyptol,0.48633016763165804,0.0,-1.2715440721267672,Bonne,Modérée,False,1,2024-01-08,MEGA_000076
borneol,0.5529212699595408,0.0,-0.34026967795417,Bonne,Élevée,False,1,2024-01-08,MEGA_000077
linalool,0.43536420596706193,0.0,1.946698462365562,Bonne,Modérée,False,1,2024-01-08,MEGA_000078
geraniol,0.927489621014012,0.0,-0.04917413002709046,Bonne,Faible,False,2,2024-01-08,MEGA_000079
citronellol,0.36173203930081427,0.0,0.34253098972959317,Bonne,Élevée,False,2,2024-01-08,MEGA_000080
squalene,0.3438534747622754,0.0,-0.9460400182515531,Bonne,Faible,False,3,2024-01-09,MEGA_000081
beta-carotene,0.45174803495628574,0.0,2.163474853700142,Bonne,Faible,False,2,2024-01-09,MEGA_000082
lycopene,0.5967481867360244,0.0,-0.5412944891384287,Bonne,Modérée,False,1,2024-01-09,MEGA_000083
lutein,0.40686688264883764,0.0,-0.22810468445151663,Bonne,Modérée,False,3,2024-01-09,MEGA_000084
zeaxanthin,0.4156180352565161,0.0,1.3170586779673645,Bonne,Faible,False,2,2024-01-09,MEGA_000085
digitoxin,0.5905055943831068,0.0,-0.18173424485361891,Bonne,Modérée,False,3,2024-01-09,MEGA_000086
digoxin,0.5286432780466449,0.0,0.047888782675214944,Bonne,Élevée,False,2,2024-01-09,MEGA_000087
strophanthin,0.5638621228362515,0.0,-0.28168832078912964,Bonne,Élevée,False,3,2024-01-09,MEGA_000088
ouabain,0.6758034381209131,0.0,-0.27483237805722727,Bonne,Élevée,False,1,2024-01-09,MEGA_000089
salicin,0.4844463588559864,0.0,0.3705020108280917,Bonne,Faible,False,1,2024-01-09,MEGA_000090
arbutin,0.5159551105577708,0.0,0.5529431891981056,Bonne,Modérée,False,1,2024-01-10,MEGA_000091
amygdalin,0.4625761015080678,0.0,-0.6432484312125671,Bonne,Modérée,False,2,2024-01-10,MEGA_000092
sinigrin,0.5293207613999997,0.0,-0.7660804561469297,Bonne,Faible,False,3,2024-01-10,MEGA_000093
aspirin,0.523529918161766,0.0,-0.6091360888575632,Bonne,Modérée,False,3,2024-01-10,MEGA_000094
salicylic acid,0.6210493706030783,0.0,-1.4012540141997682,Bonne,Faible,False,3,2024-01-10,MEGA_000095
boswellic acid,0.6556579190456953,0.0,-1.5904302585192973,Bonne,Modérée,False,2,2024-01-10,MEGA_000096
capsaicin,0.6405014395120134,0.0,0.29716714722490756,Bonne,Modérée,False,1,2024-01-10,MEGA_000097
piperine,0.39179336182427027,0.0,0.9385958031751119,Bonne,Modérée,False,1,2024-01-10,MEGA_000098
cinnamaldehyde,0.4975195600733421,0.0,0.8710452931452174,Bonne,Faible,False,3,2024-01-10,MEGA_000099
vitamin C,0.46376164230276706,0.0,-2.0,Bonne,Faible,False,3,2024-01-10,MEGA_000100
vitamin E,0.532172014865594,0.0,-0.24506508704326077,Bonne,Élevée,False,2,2024-01-11,MEGA_000101
alpha-tocopherol,0.7422786208660141,0.0,-1.102091955592559,Bonne,Faible,False,3,2024-01-11,MEGA_000102
gamma-tocopherol,0.43391051776778194,0.0,0.1437374378208569,Bonne,Faible,False,3,2024-01-11,MEGA_000103
coenzyme Q10,0.4594194887420057,0.0,-0.4178235188093812,Bonne,Élevée,False,2,2024-01-11,MEGA_000104
glutathione,0.5325344281763105,0.0,0.5919119062445883,Bonne,Élevée,False,3,2024-01-11,MEGA_000105
alpha-lipoic acid,0.4887179841847581,0.0,-0.019153090401341374,Bonne,Modérée,False,1,2024-01-11,MEGA_000106
astaxanthin,0.4594877792916868,0.0,-1.8960018949178892,Bonne,Modérée,False,2,2024-01-11,MEGA_000107
rosavin,0.5753224820448632,0.0,-0.9670858727995406,Bonne,Modérée,False,1,2024-01-11,MEGA_000108
salidroside,0.5491952994882163,0.0,0.005785114826653559,Bonne,Élevée,False,3,2024-01-11,MEGA_000109
withanolides,0.450454493775639,0.0,0.09011042923108632,Bonne,Modérée,False,3,2024-01-11,MEGA_000110
proanthocyanidins,0.36249017643302806,0.0,-1.4056768077040018,Bonne,Élevée,False,2,2024-01-12,MEGA_000111
eicosapentaenoic acid,0.7095873630711946,0.0,-1.5364597035461218,Bonne,Élevée,False,2,2024-01-12,MEGA_000112
docosahexaenoic acid,0.46111779786969365,0.0,0.05624533757317886,Bonne,Modérée,False,2,2024-01-12,MEGA_000113
galantamine,0.8132764287252015,0.0,-1.4036673060505274,Bonne,Modérée,False,2,2024-01-12,MEGA_000114
rivastigmine,0.7527340118405346,0.0,-1.6686294265007857,Bonne,Modérée,False,3,2024-01-12,MEGA_000115
phosphatidylserine,0.6322305759069751,0.0,-0.4451405126313417,Bonne,Faible,False,3,2024-01-12,MEGA_000116
acetyl-L-carnitine,0.4101519429404593,0.0,-0.4884460913386509,Bonne,Élevée,False,1,2024-01-12,MEGA_000117
beta-glucans,0.44634873728927527,0.0,-0.8784004773393012,Bonne,Élevée,False,1,2024-01-12,MEGA_000118
atropine,0.5462303332261033,575.0,5.0462630432750375,Faible,Élevée,False,2,2024-01-12,MEGA_000119
scopolamine,0.450499857134941,600.0,6.013835723222394,Faible,Modérée,False,3,2024-01-12,MEGA_000120
ephedrine,0.5188887824052992,625.0,5.529837096320181,Faible,Faible,False,2,2024-01-13,MEGA_000121
pseudoephedrine,0.3417718751896744,650.0,6.57069702166484,Faible,Modérée,False,2,2024-01-13,MEGA_000122
strychnine,0.7000738932421888,725.0,6.869531463882666,Faible,Modérée,False,2,2024-01-13,MEGA_000123
ferulic acid,0.6073313549728636,1150.0,8.0,Faible,Modérée,False,2,2024-01-13,MEGA_000124
ellagic acid,0.5089962358979283,1175.0,8.0,Faible,Modérée,False,2,2024-01-13,MEGA_000125
cyanidin,0.8398069419862764,1225.0,8.0,Faible,Modérée,False,3,2024-01-13,MEGA_000126
ursolic acid,0.4627752138066769,350.0,4.788210471066083,Modérée,Modérée,False,1,2024-01-13,MEGA_000127
oleanolic acid,0.8385857510942487,375.0,4.58814689689716,Faible,Élevée,False,2,2024-01-13,MEGA_000128
betulinic acid,0.36635707234147324,400.0,4.2385575315418045,Faible,Faible,False,3,2024-01-13,MEGA_000129
lupeol,0.3407634582191229,425.0,3.816568362359855,Faible,Modérée,False,2,2024-01-13,MEGA_000130
stigmasterol,0.6954218971084716,475.0,4.362239077183776,Faible,Élevée,False,3,2024-01-14,MEGA_000131
dhurrin,0.46808361654692454,700.0,6.12222269356419,Faible,Modérée,False,1,2024-01-14,MEGA_000132
linamarin,0.5636589080945156,725.0,7.254529291051558,Faible,Faible,False,1,2024-01-14,MEGA_000133
prunasin,0.650637865777324,750.0,8.0,Faible,Élevée,False,3,2024-01-14,MEGA_000134
sambunigrin,0.7399647162919796,775.0,7.0243323971169795,Faible,Élevée,False,2,2024-01-14,MEGA_000135
vicianin,0.45091530775081834,800.0,7.962782141336226,Faible,Modérée,False,1,2024-01-14,MEGA_000136
adenosine,0.5577612626726818,825.0,7.572637771278231,Faible,Modérée,False,2,2024-01-14,MEGA_000137
guanosine,0.5398033016824237,850.0,8.0,Faible,Élevée,False,2,2024-01-14,MEGA_000138
cytidine,0.34104152895825557,875.0,8.0,Faible,Faible,False,3,2024-01-14,MEGA_000139
uridine,0.5864316118798043,900.0,8.0,Faible,Modérée,False,2,2024-01-14,MEGA_000140
thymidine,0.638018988763329,925.0,8.0,Faible,Faible,False,3,2024-01-15,MEGA_000141
ribose,0.6098964763784944,950.0,8.0,Faible,Modérée,False,3,2024-01-15,MEGA_000142
glucose,0.5814500930805236,975.0,8.0,Faible,Faible,False,3,2024-01-15,MEGA_000143
N-acetylcysteine,0.6442064040040545,1150.0,8.0,Faible,Modérée,False,1,2024-01-15,MEGA_000144
taurine,0.6524608038707436,1175.0,8.0,Faible,Élevée,False,2,2024-01-15,MEGA_000145
carnitine,0.44071290120046125,1200.0,8.0,Faible,Faible,False,3,2024-01-15,MEGA_000146
choline,0.7974126949370282,1250.0,8.0,Faible,Élevée,False,3,2024-01-15,MEGA_000147
lecithin,0.683607039106544,1325.0,8.0,Faible,Faible,False,2,2024-01-15,MEGA_000148
sphingomyelin,0.4875058246900244,1350.0,8.0,Faible,Modérée,False,1,2024-01-15,MEGA_000149
linoleic acid,0.4691854221376316,1475.0,8.0,Faible,Faible,False,3,2024-01-15,MEGA_000150
diallyl sulfide,0.48851904680071345,300.0,2.653125608109906,Modérée,Modérée,False,3,2024-01-16,MEGA_000151
diallyl disulfide,0.6257017389223856,325.0,1.57036450229337,Modérée,Faible,False,3,2024-01-16,MEGA_000152
S-allylcysteine,0.7042795905799291,350.0,4.246316522559126,Modérée,Élevée,False,3,2024-01-16,MEGA_000153
sulforaphane,0.7941205058384231,375.0,4.516503767005579,Faible,Modérée,False,2,2024-01-16,MEGA_000154
indole-3-carbinol,0.5014367658620581,400.0,4.784170173724476,Faible,Faible,False,3,2024-01-16,MEGA_000155
diindolylmethane,0.39848416563738986,425.0,4.278872480174468,Faible,Faible,False,1,2024-01-16,MEGA_000156
glucoraphanin,0.47558392973204255,475.0,3.870129595289908,Faible,Élevée,False,2,2024-01-16,MEGA_000157
glucoerucin,0.44341703387029674,500.0,4.199659367964051,Faible,Modérée,False,1,2024-01-16,MEGA_000158
gluconapin,0.6485528169306816,525.0,6.780172055220521,Faible,Modérée,False,2,2024-01-16,MEGA_000159
sinalbin,0.494544599023721,550.0,6.935677103799796,Faible,Élevée,False,2,2024-01-16,MEGA_000160
glucotropaeolin,0.47085471643873483,575.0,5.872555156950772,Faible,Modérée,False,2,2024-01-17,MEGA_000161
alliin,0.5024901187173705,600.0,5.484365965919673,Faible,Faible,False,1,2024-01-17,MEGA_000162
methiin,0.46979346676119127,625.0,7.61862342269851,Faible,Modérée,False,1,2024-01-17,MEGA_000163
propiin,0.43852931981281423,650.0,5.80549683861519,Faible,Modérée,False,3,2024-01-17,MEGA_000164
ibuprofen,0.7594226995633451,725.0,7.478849208095907,Faible,Faible,False,1,2024-01-17,MEGA_000165
naproxen,0.4300577196136121,750.0,8.0,Faible,Élevée,False,3,2024-01-17,MEGA_000166
6-gingerol,0.6476775757097659,850.0,7.6636615003353725,Faible,Modérée,False,2,2024-01-17,MEGA_000167
cinnamic acid,0.38235378180295504,950.0,8.0,Faible,Faible,False,3,2024-01-17,MEGA_000168
eugenol,0.6155488047399977,975.0,8.0,Faible,Faible,False,1,2024-01-17,MEGA_000169
methyleugenol,0.8006444298528894,1000.0,8.0,Faible,Faible,False,2,2024-01-17,MEGA_000170
chavicol,0.4440026158954624,1025.0,8.0,Faible,Faible,False,2,2024-01-18,MEGA_000171
anethole,0.42438695692503176,1050.0,8.0,Faible,Élevée,False,3,2024-01-18,MEGA_000172
fenchone,0.5122879429817635,1075.0,8.0,Faible,Modérée,False,3,2024-01-18,MEGA_000173
bornyl acetate,0.394200228310548,1125.0,8.0,Faible,Faible,False,1,2024-01-18,MEGA_000174
myrcene,0.41580148232429753,1150.0,8.0,Faible,Élevée,False,2,2024-01-18,MEGA_000175
tyrosol,0.8770877644247261,1325.0,8.0,Faible,Élevée,True,3,2024-01-18,MEGA_000176
rhodioloside,0.6802189201365212,1400.0,8.0,Faible,Faible,False,2,2024-01-18,MEGA_000177
rosarin,0.41228723928104016,1425.0,8.0,Faible,Faible,False,1,2024-01-18,MEGA_000178
cinnamyl alcohol,0.7156724592747543,1450.0,8.0,Faible,Modérée,False,2,2024-01-18,MEGA_000179
crenulatin,0.4786608978294876,1475.0,8.0,Faible,Faible,False,3,2024-01-18,MEGA_000180
paclitaxel,0.5897580396533071,300.0,3.410151567713594,Modérée,Faible,False,1,2024-01-19,MEGA_000181
docetaxel,0.5298794148582294,315.0,2.111951418575339,Modérée,Faible,False,1,2024-01-19,MEGA_000182
camptothecin,0.6852064979965053,330.0,2.971890711639759,Modérée,Faible,False,2,2024-01-19,MEGA_000183
topotecan,0.6045385633372234,345.0,3.4024027548814932,Modérée,Modérée,False,3,2024-01-19,MEGA_000184
irinotecan,0.44755139343026895,360.0,3.870463508730557,Modérée,Faible,False,2,2024-01-19,MEGA_000185
etoposide,0.4159038424612561,375.0,3.7719815526436022,Modérée,Modérée,False,2,2024-01-19,MEGA_000186
teniposide,0.3838246434831746,390.0,4.181165142894617,Modérée,Faible,False,2,2024-01-19,MEGA_000187
vinorelbine,0.63797712188851,405.0,3.959253242660877,Faible,Faible,False,3,2024-01-19,MEGA_000188
bleomycin,0.3807889770041216,420.0,4.465107094512243,Faible,Élevée,False,2,2024-01-19,MEGA_000189
mitomycin,0.5388089878138796,435.0,3.8894765788386856,Faible,Élevée,False,2,2024-01-19,MEGA_000190
daunorubicin,0.5357290095675259,450.0,4.161813283017532,Faible,Élevée,False,1,2024-01-20,MEGA_000191
doxorubicin,0.5066675274351908,465.0,4.0739748295233325,Faible,Faible,False,1,2024-01-20,MEGA_000192
epirubicin,0.598156590006045,480.0,6.7172595345040715,Faible,Faible,False,1,2024-01-20,MEGA_000193
idarubicin,0.39596183076308045,495.0,6.413900786174323,Faible,Modérée,False,3,2024-01-20,MEGA_000194
gemcitabine,0.40324293113351045,510.0,5.655294190013615,Faible,Modérée,False,2,2024-01-20,MEGA_000195
cytarabine,0.6200386114497665,525.0,6.575308997267738,Faible,Faible,False,2,2024-01-20,MEGA_000196
fludarabine,0.45464157391638865,540.0,6.198461338977883,Faible,Modérée,False,1,2024-01-20,MEGA_000197
cladribine,0.6311515492781834,555.0,5.731271159514055,Faible,Élevée,False,2,2024-01-20,MEGA_000198
pentostatin,0.5384527552829665,570.0,4.194428658980317,Faible,Modérée,False,3,2024-01-20,MEGA_000199
nelarabine,0.6205671924338477,585.0,5.58783607987486,Faible,Faible,False,2,2024-01-20,MEGA_000200
penicillin,0.4861178219654265,600.0,5.664962107981648,Faible,Faible,False,1,2024-01-21,MEGA_000201
ampicillin,0.4389977716118493,615.0,5.016924826907843,Faible,Modérée,False,3,2024-01-21,MEGA_000202
amoxicillin,0.8210187935490021,630.0,4.813837725393384,Faible,Élevée,False,2,2024-01-21,MEGA_000203
cephalexin,0.8431648568904324,645.0,6.942719346567025,Faible,Modérée,False,2,2024-01-21,MEGA_000204
erythromycin,0.771788363242278,660.0,6.9245043223708125,Faible,Faible,False,2,2024-01-21,MEGA_000205
clarithromycin,0.5854021765409492,675.0,5.582603019932388,Faible,Modérée,False,3,2024-01-21,MEGA_000206
azithromycin,0.5395355480957479,690.0,6.154121493563811,Faible,Modérée,False,2,2024-01-21,MEGA_000207
clindamycin,0.35812513241444605,705.0,8.0,Faible,Élevée,False,1,2024-01-21,MEGA_000208
vancomycin,0.5820582202045436,720.0,6.32230348648344,Faible,Faible,False,1,2024-01-21,MEGA_000209
teicoplanin,0.4435634662812449,735.0,7.520798903933802,Faible,Élevée,False,1,2024-01-21,MEGA_000210
streptomycin,0.3834312508990844,750.0,7.310221700432019,Faible,Élevée,False,1,2024-01-22,MEGA_000211
gentamicin,0.5802051113171546,765.0,8.0,Faible,Faible,False,3,2024-01-22,MEGA_000212
amikacin,0.8428012993622684,780.0,6.94389234734357,Faible,Faible,False,1,2024-01-22,MEGA_000213
tobramycin,0.3792385933307164,795.0,8.0,Faible,Modérée,False,1,2024-01-22,MEGA_000214
neomycin,0.5167593461487672,810.0,8.0,Faible,Modérée,False,1,2024-01-22,MEGA_000215
colistin,0.45543331421806743,840.0,8.0,Faible,Modérée,False,3,2024-01-22,MEGA_000216
gramicidin,0.6191587270953574,870.0,8.0,Faible,Élevée,False,3,2024-01-22,MEGA_000217
tyrothricin,0.6322874179449571,885.0,8.0,Faible,Élevée,False,2,2024-01-22,MEGA_000218
testosterone,0.47364111732442404,900.0,8.0,Faible,Modérée,False,1,2024-01-22,MEGA_000219
estradiol,0.4685507378577939,915.0,8.0,Faible,Élevée,False,2,2024-01-22,MEGA_000220
progesterone,0.6661764128644221,930.0,8.0,Faible,Faible,False,3,2024-01-23,MEGA_000221
cortisol,0.4392895362660462,945.0,7.1317570196475,Faible,Élevée,False,2,2024-01-23,MEGA_000222
aldosterone,0.37859261257921084,960.0,8.0,Faible,Modérée,False,3,2024-01-23,MEGA_000223
prednisolone,0.5848557581803483,975.0,8.0,Faible,Modérée,False,2,2024-01-23,MEGA_000224
methylprednisolone,0.5450341167221948,990.0,8.0,Faible,Modérée,False,1,2024-01-23,MEGA_000225
dexamethasone,0.5630327757003616,1005.0,8.0,Faible,Modérée,False,3,2024-01-23,MEGA_000226
betamethasone,0.6945418342311205,1020.0,8.0,Faible,Faible,False,3,2024-01-23,MEGA_000227
triamcinolone,0.6695525710333017,1035.0,8.0,Faible,Modérée,False,3,2024-01-23,MEGA_000228
hydrocortisone,0.5439599621671256,1050.0,8.0,Faible,Faible,False,1,2024-01-23,MEGA_000229
fludrocortisone,0.5273032020627337,1065.0,8.0,Faible,Modérée,False,1,2024-01-23,MEGA_000230
deoxycorticosterone,0.4281506957638729,1080.0,8.0,Faible,Élevée,False,3,2024-01-24,MEGA_000231
corticosterone,0.3751703070375478,1095.0,8.0,Faible,Modérée,False,3,2024-01-24,MEGA_000232
androsterone,0.5483529162943659,1110.0,8.0,Faible,Modérée,False,1,2024-01-24,MEGA_000233
dehydroepiandrosterone,0.6412917827876583,1125.0,8.0,Faible,Faible,False,1,2024-01-24,MEGA_000234
pregnenolone,0.7187627822572689,1140.0,8.0,Faible,Faible,False,1,2024-01-24,MEGA_000235
allopregnanolone,0.741047940368321,1155.0,8.0,Faible,Élevée,False,1,2024-01-24,MEGA_000236
cholesterol,0.7421665955950856,1185.0,8.0,Faible,Élevée,False,1,2024-01-24,MEGA_000237
dopamine,0.6236192736924109,1200.0,8.0,Faible,Élevée,False,1,2024-01-24,MEGA_000238
norepinephrine,0.46092920871198273,1215.0,8.0,Faible,Faible,False,2,2024-01-24,MEGA_000239
epinephrine,0.4955694629099837,1230.0,8.0,Faible,Élevée,False,1,2024-01-24,MEGA_000240
serotonin,0.6477722071175249,1245.0,8.0,Faible,Modérée,False,1,2024-01-25,MEGA_000241
acetylcholine,0.5785598427341014,1260.0,8.0,Faible,Modérée,False,3,2024-01-25,MEGA_000242
GABA,0.6745747041438056,1275.0,8.0,Faible,Modérée,False,3,2024-01-25,MEGA_000243
glycine,0.546283320438472,1290.0,8.0,Faible,Élevée,False,2,2024-01-25,MEGA_000244
histamine,0.5560849854684226,1320.0,8.0,Faible,Élevée,False,1,2024-01-25,MEGA_000245
tyramine,0.5318890879825691,1335.0,8.0,Faible,Modérée,False,3,2024-01-25,MEGA_000246
phenylethylamine,0.49607564188909825,1350.0,8.0,Faible,Élevée,False,3,2024-01-25,MEGA_000247
tryptamine,0.7844537352694507,1365.0,8.0,Faible,Élevée,False,2,2024-01-25,MEGA_000248
melatonin,0.48041738663925704,1380.0,8.0,Faible,Élevée,False,1,2024-01-25,MEGA_000249
N-acetylserotonin,0.6069562536357724,1395.0,8.0,Faible,Modérée,False,3,2024-01-25,MEGA_000250
kynurenine,0.4572559018680312,1410.0,8.0,Faible,Modérée,False,1,2024-01-26,MEGA_000251
quinolinic acid,0.7761047513942765,1425.0,8.0,Faible,Élevée,False,2,2024-01-26,MEGA_000252
kynurenic acid,0.41386925630271576,1440.0,8.0,Faible,Modérée,False,2,2024-01-26,MEGA_000253
